0, 1, 2
0, 2, 9
0, 3, 8
0, 4, 3
0, 5, 9
0, 6, 4
0, 7, 5
0, 8, 9
0, 9, 10
0, 10, 6
0, 11, 6
0, 12, 8
0, 13, 9
0, 14, 5
0, 15, 4
0, 16, 4
0, 17, 5
0, 18, 10
0, 19, 10
0, 20, 4
0, 21, 4
0, 22, 2
0, 23, 1
0, 24, 3
0, 25, 5
0, 26, 7
0, 27, 9
0, 28, 1
0, 29, 1
0, 30, 10
0, 31, 5
0, 32, 5
0, 33, 5
0, 34, 3
0, 35, 2
0, 36, 3
0, 37, 8
0, 38, 4
0, 39, 9
0, 40, 5
0, 41, 7
0, 42, 1
0, 43, 1
0, 44, 4
0, 45, 9
0, 46, 1
0, 47, 8
0, 48, 3
0, 49, 8
0, 50, 5
0, 51, 1
0, 52, 1
0, 53, 2
0, 54, 3
0, 55, 6
0, 56, 3
0, 57, 10
0, 58, 10
0, 59, 3
0, 60, 6
0, 61, 1
0, 62, 10
0, 63, 10
0, 64, 5
0, 65, 10
0, 66, 5
0, 67, 9
0, 68, 1
0, 69, 7
0, 70, 4
0, 71, 3
0, 72, 8
0, 73, 8
0, 74, 7
0, 75, 10
0, 76, 3
0, 77, 1
0, 78, 3
0, 79, 5
0, 80, 10
0, 81, 3
0, 82, 2
0, 83, 9
0, 84, 5
0, 85, 2
0, 86, 1
0, 87, 8
0, 88, 4
0, 89, 7
0, 90, 3
0, 91, 10
0, 92, 3
0, 93, 7
0, 94, 1
0, 95, 8
0, 96, 8
0, 97, 10
0, 98, 9
0, 99, 3
1, 2, 8
1, 3, 9
1, 4, 2
1, 5, 1
1, 6, 4
1, 7, 9
1, 8, 4
1, 9, 1
1, 10, 6
1, 11, 6
1, 12, 1
1, 13, 3
1, 14, 7
1, 15, 6
1, 16, 1
1, 17, 4
1, 18, 9
1, 19, 5
1, 20, 2
1, 21, 4
1, 22, 6
1, 23, 1
1, 24, 7
1, 25, 10
1, 26, 10
1, 27, 2
1, 28, 9
1, 29, 2
1, 30, 1
1, 31, 9
1, 32, 9
1, 33, 7
1, 34, 5
1, 35, 2
1, 36, 1
1, 37, 7
1, 38, 2
1, 39, 10
1, 40, 5
1, 41, 2
1, 42, 4
1, 43, 2
1, 44, 9
1, 45, 10
1, 46, 6
1, 47, 4
1, 48, 5
1, 49, 1
1, 50, 4
1, 51, 1
1, 52, 2
1, 53, 5
1, 54, 1
1, 55, 8
1, 56, 7
1, 57, 9
1, 58, 7
1, 59, 7
1, 60, 6
1, 61, 7
1, 62, 7
1, 63, 5
1, 64, 9
1, 65, 5
1, 66, 10
1, 67, 3
1, 68, 6
1, 69, 8
1, 70, 9
1, 71, 8
1, 72, 5
1, 73, 3
1, 74, 5
1, 75, 6
1, 76, 2
1, 77, 2
1, 78, 2
1, 79, 1
1, 80, 1
1, 81, 6
1, 82, 8
1, 83, 7
1, 84, 1
1, 85, 6
1, 86, 10
1, 87, 2
1, 88, 5
1, 89, 4
1, 90, 6
1, 91, 10
1, 92, 8
1, 93, 2
1, 94, 10
1, 95, 2
1, 96, 1
1, 97, 6
1, 98, 9
1, 99, 8
2, 3, 7
2, 4, 4
2, 5, 5
2, 6, 7
2, 7, 8
2, 8, 9
2, 9, 2
2, 10, 2
2, 11, 8
2, 12, 10
2, 13, 2
2, 14, 4
2, 15, 10
2, 16, 8
2, 17, 10
2, 18, 8
2, 19, 1
2, 20, 7
2, 21, 7
2, 22, 2
2, 23, 1
2, 24, 7
2, 25, 8
2, 26, 6
2, 27, 10
2, 28, 3
