credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,Credit_Category,ratio
608,Spain,Female,41,1.0,83807.86,1,0,1,112542.58,0,Bad,0.7446769036217226
502,France,Female,42,8.0,159660.8,3,1,0,113931.57,1,Bad,1.4013745268322026
850,Spain,Female,43,2.0,125510.82,1,1,1,79084.1,0,Good,1.5870550464631954
645,Spain,Male,44,8.0,113755.78,2,1,0,149756.71,1,Bad,0.7596038935417319
501,France,Male,44,4.0,142051.07,2,0,1,74940.5,0,Bad,1.8955180443151567
684,France,Male,27,2.0,134603.88,1,1,1,71725.73,0,Fair,1.876647055387237
528,France,Male,31,6.0,102016.72,2,0,0,80181.12,0,Bad,1.2723284483928388
616,Germany,Male,45,3.0,143129.41,2,0,1,64327.26,0,Bad,2.2250195329320728
756,Germany,Male,36,2.0,136815.64,1,1,1,170041.95,0,Good,0.8045993356345302
574,Germany,Female,43,3.0,141349.43,1,1,1,100187.43,0,Bad,1.4108499439500544
411,France,Male,29,0.0,59697.17,2,1,1,53483.21,0,Bad,1.1161852476693153
533,France,Male,36,7.0,85311.7,1,0,1,156731.91,0,Bad,0.5443160872600863
553,Germany,Male,41,9.0,110112.54,2,0,0,81898.81,0,Bad,1.344494993272796
490,Spain,Male,31,3.0,145260.23,1,0,1,114066.77,0,Bad,1.273466672195592
804,Spain,Male,33,7.0,76548.6,1,0,1,98453.45,0,Good,0.7775105900301108
582,Germany,Male,41,6.0,70349.48,2,0,1,178074.04,0,Bad,0.3950574716000153
465,France,Female,51,8.0,122522.32,1,0,0,181297.65,1,Bad,0.675807546319547
556,France,Female,61,2.0,117419.35,1,1,1,94153.83,0,Bad,1.2471011535059169
834,France,Female,49,2.0,131394.56,1,0,0,194365.76,1,Good,0.6760170104034784
660,Spain,Female,61,5.0,155931.11,1,1,1,158338.39,0,Fair,0.9847966118639957
776,Germany,Female,32,4.0,109421.13,2,1,1,126517.46,0,Good,0.8648697974176844
829,Germany,Female,27,9.0,112045.67,1,1,1,119708.21,1,Good,0.9359898539958119
637,Germany,Female,39,9.0,137843.8,1,1,1,117622.8,1,Bad,1.1719139486562127
